LAMMPS (24 Mar 2022)
Reading data file ...
  orthogonal box = (0 0 0) to (17.90955 17.90955 17.90955)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  365 atoms
  read_data CPU = 0.030 seconds
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6.450959
  ghost atom cutoff = 6.450959
  binsize = 3.2254795, bins = 6 6 6
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair adp, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 6.776 | 6.776 | 6.776 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
       247   30.375639     -1171.3459      0             -1169.9167     -98905.902    
       248   29.750094     -1171.3165      0             -1169.9167     -99003.676    
       249   29.154057     -1171.2884      0             -1169.9167     -99098.861    
       250   28.587501     -1171.2618      0             -1169.9167     -99191.439    
       251   28.050266     -1171.2365      0             -1169.9167     -99281.382    
       252   27.542068     -1171.2126      0             -1169.9167     -99368.664    
       253   27.062504     -1171.19        0             -1169.9167     -99453.253    
       254   26.611059     -1171.1688      0             -1169.9167     -99535.107    
       255   26.187113     -1171.1488      0             -1169.9167     -99614.192    
       256   25.789953     -1171.1301      0             -1169.9167     -99690.463    
       257   25.418781     -1171.1127      0             -1169.9167     -99763.877    
       258   25.072726     -1171.0964      0             -1169.9167     -99834.382    
       259   24.750858     -1171.0813      0             -1169.9167     -99901.937    
       260   24.452195     -1171.0672      0             -1169.9167     -99966.495    
       261   24.175722     -1171.0542      0             -1169.9167     -100028       
       262   23.920399     -1171.0422      0             -1169.9167     -100086.42    
       263   23.685177     -1171.0311      0             -1169.9167     -100141.69    
       264   23.469009     -1171.021       0             -1169.9167     -100193.77    
       265   23.270864     -1171.0117      0             -1169.9167     -100242.63    
       266   23.089736     -1171.0031      0             -1169.9167     -100288.22    
       267   22.924659     -1170.9954      0             -1169.9167     -100330.5     
       268   22.774716     -1170.9883      0             -1169.9167     -100369.43    
       269   22.639048     -1170.9819      0             -1169.9168     -100404.99    
       270   22.516864     -1170.9762      0             -1169.9168     -100437.16    
       271   22.407449     -1170.971       0             -1169.9168     -100465.9     
       272   22.310171     -1170.9665      0             -1169.9168     -100491.2     
       273   22.224483     -1170.9624      0             -1169.9168     -100513.05    
       274   22.149934     -1170.9589      0             -1169.9168     -100531.45    
       275   22.086166     -1170.9559      0             -1169.9168     -100546.38    
       276   22.032917     -1170.9534      0             -1169.9168     -100557.85    
       277   21.990024     -1170.9514      0             -1169.9168     -100565.87    
       278   21.957422     -1170.9499      0             -1169.9168     -100570.44    
       279   21.935136     -1170.9488      0             -1169.9168     -100571.6     
       280   21.923287     -1170.9483      0             -1169.9168     -100569.35    
       281   21.922081     -1170.9482      0             -1169.9168     -100563.73    
       282   21.931805     -1170.9487      0             -1169.9168     -100554.76    
       283   21.952823     -1170.9497      0             -1169.9168     -100542.48    
       284   21.985564     -1170.9512      0             -1169.9168     -100526.93    
       285   22.03052      -1170.9533      0             -1169.9168     -100508.14    
       286   22.088231     -1170.956       0             -1169.9168     -100486.16    
       287   22.15928      -1170.9594      0             -1169.9167     -100461.05    
       288   22.244279     -1170.9634      0             -1169.9167     -100432.83    
       289   22.343864     -1170.968       0             -1169.9167     -100401.57    
       290   22.458679     -1170.9734      0             -1169.9167     -100367.31    
       291   22.589367     -1170.9796      0             -1169.9167     -100330.11    
       292   22.736562     -1170.9865      0             -1169.9167     -100290       
       293   22.900873     -1170.9942      0             -1169.9167     -100247.04    
       294   23.082879     -1171.0028      0             -1169.9167     -100201.28    
       295   23.283114     -1171.0122      0             -1169.9167     -100152.76    
       296   23.502062     -1171.0225      0             -1169.9167     -100101.54    
       297   23.740142     -1171.0337      0             -1169.9167     -100047.64    
       298   23.997705     -1171.0458      0             -1169.9167     -99991.117    
       299   24.275026     -1171.0589      0             -1169.9167     -99932.001    
       300   24.57229      -1171.0729      0             -1169.9167     -99870.321    
       301   24.889596     -1171.0878      0             -1169.9167     -99806.111    
       302   25.226944     -1171.1037      0             -1169.9167     -99739.394    
       303   25.584236     -1171.1205      0             -1169.9167     -99670.189    
       304   25.961267     -1171.1382      0             -1169.9167     -99598.516    
       305   26.357732     -1171.1569      0             -1169.9167     -99524.383    
       306   26.773217     -1171.1764      0             -1169.9167     -99447.8      
       307   27.207202     -1171.1969      0             -1169.9167     -99368.768    
       308   27.659065     -1171.2181      0             -1169.9167     -99287.286    
       309   28.128079     -1171.2402      0             -1169.9167     -99203.35     
       310   28.613422     -1171.263       0             -1169.9167     -99116.951    
       311   29.114175     -1171.2866      0             -1169.9167     -99028.074    
       312   29.629334     -1171.3108      0             -1169.9167     -98936.699    
       313   30.157809     -1171.3357      0             -1169.9167     -98842.806    
       314   30.698439     -1171.3611      0             -1169.9168     -98746.37     
       315   31.249993     -1171.3871      0             -1169.9168     -98647.365    
       316   31.811182     -1171.4135      0             -1169.9168     -98545.76     
       317   32.38067      -1171.4403      0             -1169.9168     -98441.525    
       318   32.957079     -1171.4674      0             -1169.9168     -98334.626    
       319   33.539001     -1171.4948      0             -1169.9168     -98225.027    
       320   34.12501      -1171.5224      0             -1169.9168     -98112.697    
       321   34.713668     -1171.5501      0             -1169.9168     -97997.598    
       322   35.30354      -1171.5778      0             -1169.9168     -97879.688    
       323   35.893202     -1171.6056      0             -1169.9168     -97758.934    
       324   36.481249     -1171.6333      0             -1169.9168     -97635.302    
       325   37.066308     -1171.6608      0             -1169.9168     -97508.757    
       326   37.647046     -1171.6881      0             -1169.9168     -97379.265    
       327   38.222181     -1171.7152      0             -1169.9168     -97246.799    
       328   38.790485     -1171.7419      0             -1169.9168     -97111.327    
       329   39.350797     -1171.7683      0             -1169.9168     -96972.824    
       330   39.902029     -1171.7942      0             -1169.9168     -96831.269    
       331   40.443171     -1171.8197      0             -1169.9168     -96686.644    
       332   40.973295     -1171.8446      0             -1169.9168     -96538.94     
       333   41.491564     -1171.869       0             -1169.9168     -96388.14     
       334   41.997234     -1171.8928      0             -1169.9168     -96234.239    
       335   42.489653     -1171.916       0             -1169.9168     -96077.236    
       336   42.96827      -1171.9385      0             -1169.9168     -95917.135    
       337   43.43263      -1171.9604      0             -1169.9168     -95753.94     
       338   43.882377     -1171.9815      0             -1169.9168     -95587.665    
       339   44.317253     -1172.002       0             -1169.9168     -95418.325    
       340   44.737095     -1172.0217      0             -1169.9168     -95245.946    
       341   45.141834     -1172.0408      0             -1169.9168     -95070.55     
       342   45.531494     -1172.0591      0             -1169.9168     -94892.172    
       343   45.906182     -1172.0767      0             -1169.9168     -94710.846    
       344   46.266088     -1172.0937      0             -1169.9168     -94526.61     
       345   46.61148      -1172.1099      0             -1169.9168     -94339.507    
       346   46.942695     -1172.1255      0             -1169.9168     -94149.587    
       347   47.260135     -1172.1404      0             -1169.9168     -93956.896    
       348   47.56426      -1172.1547      0             -1169.9168     -93761.496    
       349   47.855582     -1172.1685      0             -1169.9168     -93563.446    
       350   48.134653     -1172.1816      0             -1169.9168     -93362.802    
       351   48.402064     -1172.1942      0             -1169.9168     -93159.626    
       352   48.658434     -1172.2062      0             -1169.9168     -92953.98     
       353   48.9044       -1172.2178      0             -1169.9168     -92745.929    
       354   49.140614     -1172.2289      0             -1169.9168     -92535.542    
       355   49.367735     -1172.2396      0             -1169.9168     -92322.886    
       356   49.586418     -1172.2499      0             -1169.9168     -92108.027    
       357   49.797312     -1172.2598      0             -1169.9168     -91891.035    
       358   50.001051     -1172.2694      0             -1169.9168     -91671.98     
       359   50.198251     -1172.2787      0             -1169.9168     -91450.931    
       360   50.389499     -1172.2877      0             -1169.9168     -91227.959    
       361   50.575354     -1172.2964      0             -1169.9168     -91003.128    
       362   50.756339     -1172.3049      0             -1169.9168     -90776.51     
       363   50.932941     -1172.3132      0             -1169.9168     -90548.169    
